Paper ID,Order,Type,Title,Authors
734,269,AP,Subspace Interpolation via Dictionary Learning for Unsupervised Domain Adaptation,Jie Ni@ Qiang Qiu@ Rama Chellappa
136,270,AP,Graph-Based Discriminative Learning for Location Recognition,Song Cao@ Noah Snavely
1671,271,AP,Learning by Associating Ambiguously Labeled Images,Zinan Zeng@ Shijie Xiao@ Kui Jia@ Tsung-Han Chan@ Shenghua Gao@ Dong Xu@ Yi Ma
634,272,AP,HON4D: Histogram of Oriented 4D Normals for Activity Recognition from Depth Sequences,Omar Oreifej@ Zicheng Liu
708,273,AP,3D R Transform on Spatio-temporal Interest Points for Action Recognition,Chunfeng Yuan@ Xi Li@ Weiming Hu@ Haibin Ling@ Stephen Maybank
1952,274,AP,Learning Cross-Domain Information Transfer for Location Recognition and Clustering,Raghuraman Gopalan
2106,275,AP,Studying Relationships between Human Gaze@ Description@ and Computer Vision,Kiwon Yun@ Yifan Peng@ Dimitris Samaras@ Gregory J. Zelinsky@ Tamara L. Berg
1229,276,AP,BFO Meets HOG: Feature Extraction Based on Histograms of Oriented p.d.f. Gradients for Image Classification,Takumi Kobayashi
1602,277,AP,Class Generative Models Based on Feature Regression for Pose Estimation of Object Categories,Michele Fenzi@ Laura Leal-Taixé@ Bodo Rosenhahn@ Jörn Ostermann
1975,278,AP,Leveraging Structure from Motion to Learn Discriminative Codebooks for Scalable Landmark Classification,Alessandro Bergamo@ Sudipta N. Sinha@ Lorenzo Torresani
336,279,AP,Designing Category-Level Attributes for Discriminative Visual Recognition,Felix X. Yu@ Liangliang Cao@ Rogerio S. Feris@ John R. Smith@ Shih-Fu Chang
1592,280,AP,Attribute-Based Detection of Unfamiliar Classes with Humans in the Loop,Catherine Wah@ Serge Belongie
2108,281,AP,Object-Centric Anomaly Detection by Attribute-Based Reasoning,Babak Saleh@ Ali Farhadi@ Ahmed Elgammal
545,282,AP,Learning Class-to-Image Distance with Object Matchings,Guang-Tong Zhou@ Tian Lan@ Weilong Yang@ Greg Mori
1009,283,AP,Sample-Specific Late Fusion for Visual Category Recognition,Dong Liu@ Kuan-Ting Lai@ Guangnan Ye@ Ming-Syan Chen@ Shih-Fu Chang
283,284,AP,Efficient Object Detection and Segmentation for Fine-Grained Recognition,Anelia Angelova@ Shenghuo Zhu
395,285,AP,Label-Embedding for Attribute-Based Classification,Zeynep Akata@ Florent Perronnin@ Zaid Harchaoui@ Cordelia Schmid
766,286,AP,Subcategory-Aware Object Classification,Jian Dong@ Wei Xia@ Qiang Chen@ Jianshi Feng@ Zhongyang Huang@ Shuicheng Yan
1326,287,AP,Vantage Feature Frames for Fine-Grained Categorization,Asma Rejeb Sfar@ Nozha Boujemaa@ Donald Geman
1232,288,AP,Probabilistic Label Trees for Efficient Large Scale Image Classification,Baoyuan Liu@ Fereshteh Sadeghi@ Marshall Tappen@ Ohad Shamir@ Ce Liu
1520,289,AP,Harvesting Mid-level Visual Concepts from Large-Scale Internet Images,Quannan Li@ Jiajun Wu@ Zhuowen Tu
1548,290,AP,Adaptive Active Learning for Image Classification,Xin Li@ Yuhong Guo
838,291,AP,SCaLE: Supervised and Cascaded Laplacian Eigenmaps for Visual Object Recognition Based on Nearest Neighbors,Ruobing Wu@ Yizhou Yu@ Wenping Wang
1541,292,AP,Adding Unlabeled Samples to Categories by Learned Attributes,Mohammad Rastegari@ Ali Farhadi@ Larry S. Davis
1449,293,AP,Visual Place Recognition with Repetitive Structures,Akihiko Torii@ Josef Sivic@ Tomas Pajdla@ Masatoshi Okutomi
162,294,AP,Cross-View Image Geolocalization,Tsung-Yi Lin@ Serge Belongie@ James Hays
1815,295,AP,Efficient 2D-to-3D Correspondence Filtering for Scalable 3D Object Recognition,Qiang Hao@ Rui Cai@ Zhiwei Li@ Lei Zhang@ Yanwei Pang@ Feng Wu@ Yong Rui
2069,296,AP,Learning and Calibrating Per-Location Classifiers for Visual Place Recognition,Petr Gronát@ Guillaume Obozinski@ Josef Sivic@ Tomáš Pajdla
1348,297,AP,An Approach to Pose-Based Action Recognition,Chunyu Wang@ Yizhou Wang@ Alan L. Yuille
1086,298,AP,Blocks That Shout: Distinctive Parts for Scene Classification,Mayank Juneja@ Andrea Vedaldi@ C.V. Jawahar@ Andrew Zisserman
1973,299,AP,Part Discovery from Partial Correspondence,Subhransu Maji@ Gregory Shakhnarovich
416,300,AP,Learning Collections of Part Models for Object Recognition,Ian Endres@ Kevin J. Shih@ Johnston Jiaa@ Derek Hoiem
1194,301,AP,Fast Multiple-Part Based Object Detection Using KD-Ferns,Dan Levi@ Shai Silberstein@ Aharon Bar-Hillel
107,302,AP,POOF: Part-Based One-vs.-One Features for Fine-Grained Categorization@ Face Verification@ and Attribute Estimation,Thomas Berg@ Peter N. Belhumeur
,302.1,SD,Poster Session: Imaging,
739,303,AP,Non-parametric Filtering for Geometric Detail Extraction and Material Representation,Zicheng Liao@ Jason Rock@ Yang Wang@ David Forsyth
1275,304,AP,Learning the Change for Automatic Image Cropping,Jianzhou Yan@ Stephen Lin@ Sing Bing Kang@ Xiaoou Tang
1460,305,AP,Statistical Textural Distinctiveness for Salient Region Detection in Natural Images,Christian Scharfenberger@ Alexander Wong@ Khalil Fergani@ John S. Zelek@ David A. Clausi
1430,306,AP,Real-Time No-Reference Image Quality Assessment Based on Filter Learning,Peng Ye@ Jayant Kumar@ Le Kang@ David Doermann
187,307,AP,Learning without Human Scores for Blind Image Quality Assessment,Wufeng Xue@ Lei Zhang@ Xuanqin Mou
89,308,AP,The Variational Structure of Disparity and Regularization of 4D Light Fields,Bastian Goldluecke@ Sven Wanner
821,309,AP,Globally Consistent Multi-label Assignment on the Ray Space of 4D Light Fields,Sven Wanner@ Christoph Straehle@ Bastian Goldluecke
954,310,AP,Principal Observation Ray Calibration for Tiled-Lens-Array Integral Imaging Display,Weiming Li@ Haitao Wang@ Mingcai Zhou@ Shandong Wang@ Shaohui Jiao@ Xing Mei@ Tao Hong@ Hoyoung Lee@ Jiyeun Kim
1458,311,AP,Decoding@ Calibration and Rectification for Lenselet-Based Plenoptic Cameras,Donald G. Dansereau@ Oscar Pizarro@ Stefan B. Williams
1663,312,AP,Adherent Raindrop Detection and Removal in Video,Shaodi You@ Robby T. Tan@ Rei Kawakami@ Katsushi Ikeuchi
229,313,AP,Stochastic Deconvolution,James Gregson@ Felix Heide@ Matthias B. Hullin@ Mushfiqur Rouf@ Wolfgang Heidrich
482,314,AP,Multi-image Blind Deblurring Using a Coupled Adaptive Sparse Prior,Haichao Zhang@ David Wipf@ Yanning Zhang
1038,315,AP,Fast Image Super-Resolution Based on In-Place Example Regression,Jianchao Yang@ Zhe Lin@ Scott Cohen
1746,316,AP,A Machine Learning Approach for Non-blind Image Deconvolution,Christian J. Schuler@ Harold Christopher Burger@ Stefan Harmeling@ Bernhard Schölkopf
1819,317,AP,Learning to Estimate and Remove Non-uniform Image Blur,Florent Couzinié-Devy@ Jian Sun@ Karteek Alahari@ Jean Ponce
2171,318,AP,On a Link Between Kernel Mean Maps and Fraunhofer Diffraction@ with an Application to Super-Resolution Beyond the Diffraction Limit,Stefan Harmeling@ Michael Hirsch@ Bernhard Schölkopf
2083,319,AP,Blur Processing Using Double Discrete Wavelet Transform,Yi Zhang@ Keigo Hirakawa
1387,320,AP,Structured Face Hallucination,Chih-Yuan Yang@ Sifei Liu@ Ming-Hsuan Yang
371,321,AP,Unnatural L0 Sparse Representation for Natural Image Deblurring,Li Xu@ Shicheng Zheng@ Jiaya Jia
1788,322,AP,Non-uniform Motion Deblurring for Bilayer Scenes,C. Paramanand@ A.N. Rajagopalan
1896,323,AP,Depth Super Resolution by Rigid Body Self-Similarity in 3D,Michael Hornáek@ Christoph Rhemann@ Margrit Gelautz@ Carsten Rother
189,324,AP,Saliency Aggregation: A Data-Driven Approach,Long Mai@ Yuzhen Niu@ Feng Liu
845,325,AP,What Makes a Patch Distinct?,Ran Margolin@ Ayellet Tal@ Lihi Zelnik-Manor
946,326,AP,Learning Video Saliency from Human Gaze Using Candidate Selection,Dmitry Rudoy@ Dan B. Goldman@ Eli Shechtman@ Lihi Zelnik-Manor
961,327,AP,Hierarchical Saliency Detection,Qiong Yan@ Li Xu@ Jianping Shi@ Jiaya Jia
602,328,AP,HDR Deghosting: How to Deal with Saturation?,Jun Hu@ Orazio Gallo@ Kari Pulli@ Xiaobai Sun
625,329,AP,FrameBreak: Dramatic Image Extrapolation by Guided Shift-Maps,Yinda Zhang@ Jianxiong Xiao@ James Hays@ Ping Tan
1537,330,AP,Video Enhancement of People Wearing Polarized Glasses: Darkening Reversal and Reflection Reduction,Mao Ye@ Cha Zhang@ Ruigang Yang
554,331,AP,Layer Depth Denoising and Completion for Structured-Light RGB-D Cameras,Ju Shen@ Sen-Ching S. Cheung
529,332,AP,Separating Signal from Noise Using Patch Recurrence across Scales,Maria Zontak@ Inbar Mosseri@ Michal Irani
163,333,AP,Texture Enhanced Image Denoising via Gradient Histogram Preservation,Wangmeng Zuo@ Lei Zhang@ Chunwei Song@ David Zhang
1512,334,AP,Fast Patch-Based Denoising Using Approximated Patch Geodesic Paths,Xiaogang Chen@ Sing Bing Kang@ Jie Yang@ Jingyi Yu
1605,335,AP,A New Model and Simple Algorithms for Multi-label Mumford-Shah Problems,Byung-Woo Hong@ Zhaojin Lu@ Ganesh Sundaramoorthi
